data_points,pair_l,mean_shape,difference,division,f1,recall,precision,accuracy
100,"((11, 11), 0, 2.5)","(11, 11)",0,2.5,0.876513317,0.905,0.849765258,0.8725
100,"((11, 11), 5, 0.2)","(11, 11)",5,0.2,0.801089918,0.735,0.880239521,0.8175
100,"((11, 11), 5, 0.5)","(11, 11)",5,0.5,0.607734807,0.55,0.679012346,0.645
100,"((11, 11), 5, 1)","(11, 11)",5,1,0.808510638,0.855,0.766816143,0.7975
100,"((11, 11), 5, 1.2)","(11, 11)",5,1.2,0.832929782,0.86,0.807511737,0.8275
100,"((11, 11), 5, 1.5)","(11, 11)",5,1.5,0.886699507,0.9,0.873786408,0.885
100,"((11, 11), 5, 2)","(11, 11)",5,2,0.885167464,0.925,0.848623853,0.88
100,"((11, 11), 5, 2.3)","(11, 11)",5,2.3,0.892086331,0.93,0.857142857,0.8875
100,"((11, 11), 5, 2.5)","(11, 11)",5,2.5,0.876513317,0.905,0.849765258,0.8725
100,"((11, 11), 10, 0.2)","(11, 11)",10,0.2,0.804347826,0.74,0.880952381,0.82
100,"((11, 11), 10, 0.5)","(11, 11)",10,0.5,0.612716763,0.53,0.726027397,0.665
100,"((11, 11), 10, 1)","(11, 11)",10,1,0.843187661,0.82,0.867724868,0.8475
100,"((11, 11), 10, 1.2)","(11, 11)",10,1.2,0.848484848,0.84,0.857142857,0.85
100,"((11, 11), 10, 1.5)","(11, 11)",10,1.5,0.896725441,0.89,0.903553299,0.8975
100,"((11, 11), 10, 2)","(11, 11)",10,2,0.92039801,0.925,0.915841584,0.92
100,"((11, 11), 10, 2.3)","(11, 11)",10,2.3,0.912718204,0.915,0.910447761,0.9125
100,"((11, 11), 10, 2.5)","(11, 11)",10,2.5,0.886198547,0.915,0.85915493,0.8825
100,"((11, 11), 15, 0.2)","(11, 11)",15,0.2,0.788043478,0.725,0.863095238,0.805
100,"((11, 11), 15, 0.5)","(11, 11)",15,0.5,0.782841823,0.73,0.843930636,0.7975
100,"((11, 11), 15, 1)","(11, 11)",15,1,0.854166667,0.82,0.891304348,0.86
100,"((11, 11), 15, 1.2)","(11, 11)",15,1.2,0.874074074,0.885,0.863414634,0.8725
100,"((11, 11), 15, 1.5)","(11, 11)",15,1.5,0.871391076,0.83,0.917127072,0.8775
100,"((11, 11), 15, 2)","(11, 11)",15,2,0.915167095,0.89,0.941798942,0.9175
100,"((11, 11), 15, 2.3)","(11, 11)",15,2.3,0.914572864,0.91,0.919191919,0.915
100,"((11, 11), 15, 2.5)","(11, 11)",15,2.5,0.914141414,0.905,0.923469388,0.915
100,"((11, 11), 20, 0.2)","(11, 11)",20,0.2,0.838196286,0.79,0.892655367,0.8475
100,"((11, 11), 20, 0.5)","(11, 11)",20,0.5,0.872062663,0.835,0.912568306,0.8775
100,"((11, 11), 20, 1)","(11, 11)",20,1,0.914285714,0.88,0.951351351,0.9175
100,"((11, 11), 20, 1.2)","(11, 11)",20,1.2,0.923857868,0.91,0.93814433,0.925
100,"((11, 11), 20, 1.5)","(11, 11)",20,1.5,0.93059126,0.905,0.957671958,0.9325
100,"((11, 11), 20, 2)","(11, 11)",20,2,0.928205128,0.905,0.952631579,0.93
100,"((11, 11), 20, 2.3)","(11, 11)",20,2.3,0.967418546,0.965,0.969849246,0.9675
100,"((11, 11), 20, 2.5)","(11, 11)",20,2.5,0.957816377,0.965,0.950738916,0.9575
100,"((11, 11), 25, 0.2)","(11, 11)",25,0.2,0.907161804,0.855,0.966101695,0.9125
100,"((11, 11), 25, 0.5)","(11, 11)",25,0.5,0.947103275,0.94,0.954314721,0.9475
100,"((11, 11), 25, 1)","(11, 11)",25,1,0.944162437,0.93,0.958762887,0.945
100,"((11, 11), 25, 1.2)","(11, 11)",25,1.2,0.954773869,0.95,0.95959596,0.955
100,"((11, 11), 25, 1.5)","(11, 11)",25,1.5,0.959390863,0.945,0.974226804,0.96
100,"((11, 11), 25, 2)","(11, 11)",25,2,0.943877551,0.925,0.963541667,0.945
100,"((11, 11), 25, 2.3)","(11, 11)",25,2.3,0.967418546,0.965,0.969849246,0.9675
100,"((11, 11), 25, 2.5)","(11, 11)",25,2.5,0.967581047,0.97,0.965174129,0.9675
100,"((11, 11), 30, 0.2)","(11, 11)",30,0.2,0.92513369,0.865,0.994252874,0.93
100,"((11, 11), 30, 0.5)","(11, 11)",30,0.5,0.966580977,0.94,0.994708995,0.9675
100,"((11, 11), 30, 1)","(11, 11)",30,1,0.976982097,0.955,1,0.9775
100,"((11, 11), 30, 1.2)","(11, 11)",30,1.2,0.974489796,0.955,0.994791667,0.975
100,"((11, 11), 30, 1.5)","(11, 11)",30,1.5,0.974489796,0.955,0.994791667,0.975
100,"((11, 11), 30, 2)","(11, 11)",30,2,0.972010178,0.955,0.989637306,0.9725
100,"((11, 11), 30, 2.3)","(11, 11)",30,2.3,0.974489796,0.955,0.994791667,0.975
100,"((11, 11), 30, 2.5)","(11, 11)",30,2.5,0.974489796,0.955,0.994791667,0.975
100,"((11, 11), 35, 0.2)","(11, 11)",35,0.2,0.880886427,0.795,0.98757764,0.8925
100,"((11, 11), 35, 0.5)","(11, 11)",35,0.5,0.928381963,0.875,0.988700565,0.9325
100,"((11, 11), 35, 1)","(11, 11)",35,1,0.934036939,0.885,0.988826816,0.9375
100,"((11, 11), 35, 1.2)","(11, 11)",35,1.2,0.931216931,0.88,0.988764045,0.935
100,"((11, 11), 35, 1.5)","(11, 11)",35,1.5,0.931216931,0.88,0.988764045,0.935
100,"((11, 11), 35, 2)","(11, 11)",35,2,0.928381963,0.875,0.988700565,0.9325
100,"((11, 11), 35, 2.3)","(11, 11)",35,2.3,0.931216931,0.88,0.988764045,0.935
100,"((11, 11), 35, 2.5)","(11, 11)",35,2.5,0.931216931,0.88,0.988764045,0.935
100,"((11, 11), 40, 0.2)","(11, 11)",40,0.2,0.833819242,0.715,1,0.8575
100,"((11, 11), 40, 0.5)","(11, 11)",40,0.5,0.895604396,0.815,0.993902439,0.905
100,"((11, 11), 40, 1)","(11, 11)",40,1,0.893150685,0.815,0.987878788,0.9025
100,"((11, 11), 40, 1.2)","(11, 11)",40,1.2,0.893150685,0.815,0.987878788,0.9025
100,"((11, 11), 40, 1.5)","(11, 11)",40,1.5,0.893150685,0.815,0.987878788,0.9025
100,"((11, 11), 40, 2)","(11, 11)",40,2,0.889502762,0.805,0.99382716,0.9
100,"((11, 11), 40, 2.3)","(11, 11)",40,2.3,0.893150685,0.815,0.987878788,0.9025
100,"((11, 11), 40, 2.5)","(11, 11)",40,2.5,0.893150685,0.815,0.987878788,0.9025
100,"((11, 11), 45, 0.2)","(11, 11)",45,0.2,0.746081505,0.595,1,0.7975
100,"((11, 11), 45, 0.5)","(11, 11)",45,0.5,0.795180723,0.66,1,0.83
100,"((11, 11), 45, 1)","(11, 11)",45,1,0.80239521,0.67,1,0.835
100,"((11, 11), 45, 1.2)","(11, 11)",45,1.2,0.80239521,0.67,1,0.835
100,"((11, 11), 45, 1.5)","(11, 11)",45,1.5,0.798798799,0.665,1,0.8325
100,"((11, 11), 45, 2)","(11, 11)",45,2,0.80239521,0.67,1,0.835
100,"((11, 11), 45, 2.3)","(11, 11)",45,2.3,0.80239521,0.67,1,0.835
100,"((11, 11), 45, 2.5)","(11, 11)",45,2.5,0.80239521,0.67,1,0.835
100,"((13, 13), 0, 0.2)","(13, 13)",0,0.2,0.815013405,0.76,0.878612717,0.8275
100,"((13, 13), 0, 0.5)","(13, 13)",0,0.5,0.636363636,0.56,0.736842105,0.68
100,"((13, 13), 0, 1)","(13, 13)",0,1,0.819047619,0.86,0.781818182,0.81
100,"((13, 13), 0, 1.2)","(13, 13)",0,1.2,0.877697842,0.915,0.843317972,0.8725
100,"((13, 13), 0, 1.5)","(13, 13)",0,1.5,0.907317073,0.93,0.885714286,0.905
100,"((13, 13), 0, 2)","(13, 13)",0,2,0.91646778,0.96,0.876712329,0.9125
100,"((13, 13), 0, 2.3)","(13, 13)",0,2.3,0.906024096,0.94,0.874418605,0.9025
100,"((13, 13), 0, 2.5)","(13, 13)",0,2.5,0.90430622,0.945,0.866972477,0.9
100,"((13, 13), 5, 0.2)","(13, 13)",5,0.2,0.815013405,0.76,0.878612717,0.8275
100,"((13, 13), 5, 0.5)","(13, 13)",5,0.5,0.636363636,0.56,0.736842105,0.68
100,"((13, 13), 5, 1)","(13, 13)",5,1,0.819047619,0.86,0.781818182,0.81
100,"((13, 13), 5, 1.2)","(13, 13)",5,1.2,0.877697842,0.915,0.843317972,0.8725
100,"((13, 13), 5, 1.5)","(13, 13)",5,1.5,0.907317073,0.93,0.885714286,0.905
100,"((13, 13), 5, 2)","(13, 13)",5,2,0.91646778,0.96,0.876712329,0.9125
100,"((13, 13), 5, 2.3)","(13, 13)",5,2.3,0.906024096,0.94,0.874418605,0.9025
100,"((13, 13), 5, 2.5)","(13, 13)",5,2.5,0.90430622,0.945,0.866972477,0.9
100,"((13, 13), 10, 0.2)","(13, 13)",10,0.2,0.81462141,0.78,0.852459016,0.8225
100,"((13, 13), 10, 0.5)","(13, 13)",10,0.5,0.629969419,0.515,0.811023622,0.6975
100,"((13, 13), 10, 1)","(13, 13)",10,1,0.85492228,0.825,0.887096774,0.86
