,data_points,pair_l,mean_shape,difference,division,f1,recall,precision,accuracy
222,500,"((11, 11), 35, 2.3)","(11, 11)",35,2.3,0.9371727748691099,0.895,0.9835164835164835,0.94
223,500,"((11, 11), 35, 2.5)","(11, 11)",35,2.5,0.9287598944591029,0.88,0.9832402234636871,0.9325
224,500,"((11, 11), 40, 0.2)","(11, 11)",40,0.2,0.8950276243093923,0.81,1.0,0.905
225,500,"((11, 11), 40, 0.5)","(11, 11)",40,0.5,0.9027027027027026,0.835,0.9823529411764705,0.91
226,500,"((11, 11), 40, 1)","(11, 11)",40,1.0,0.8967391304347827,0.825,0.9821428571428571,0.905
227,500,"((11, 11), 40, 1.2)","(11, 11)",40,1.2,0.8972972972972972,0.83,0.9764705882352941,0.905
228,500,"((11, 11), 40, 1.5)","(11, 11)",40,1.5,0.8852459016393442,0.81,0.9759036144578314,0.895
229,500,"((11, 11), 40, 2)","(11, 11)",40,2.0,0.899182561307902,0.825,0.9880239520958084,0.9075
230,500,"((11, 11), 40, 2.3)","(11, 11)",40,2.3,0.8961748633879781,0.82,0.9879518072289156,0.905
231,500,"((11, 11), 40, 2.5)","(11, 11)",40,2.5,0.8901098901098902,0.81,0.9878048780487805,0.9
232,500,"((11, 11), 45, 0.2)","(11, 11)",45,0.2,0.8279883381924198,0.71,0.993006993006993,0.8525
233,500,"((11, 11), 45, 0.5)","(11, 11)",45,0.5,0.8347826086956522,0.72,0.993103448275862,0.8575
234,500,"((11, 11), 45, 1)","(11, 11)",45,1.0,0.8347826086956522,0.72,0.993103448275862,0.8575
235,500,"((11, 11), 45, 1.2)","(11, 11)",45,1.2,0.8313953488372092,0.715,0.9930555555555556,0.855
236,500,"((11, 11), 45, 1.5)","(11, 11)",45,1.5,0.8313953488372092,0.715,0.9930555555555556,0.855
237,500,"((11, 11), 45, 2)","(11, 11)",45,2.0,0.8313953488372092,0.715,0.9930555555555556,0.855
238,500,"((11, 11), 45, 2.3)","(11, 11)",45,2.3,0.8279883381924198,0.71,0.993006993006993,0.8525
239,500,"((11, 11), 45, 2.5)","(11, 11)",45,2.5,0.8347826086956522,0.72,0.993103448275862,0.8575
240,500,"((13, 13), 0, 0.2)","(13, 13)",0,0.2,0.7921348314606741,0.705,0.9038461538461539,0.815
